"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/02/28","マクドナルドモバイルオーダー","-150","d払い","食費","外食","","0","0mtLAuJJLVkxAOpbQrC_B0iuNJVjLMxTdqFk5ZcC6a0"
"1","2026/02/28","マクドナルドモバイルオーダー(ポイント利用分)","150","d払い","未分類","未分類","","0","skm29WqJgBb0YKkvy8-2hB6Q7XSmBjQlG-qulZlwYxs"
"1","2026/02/28","イト-ヨ-カド- グ","-1078","楽天カード","食費","食料品","","0","JugBQC4Zblk2D0-buDIR_jOwsFQFGk5OxIodJH--2D0"
"1","2026/02/28","ららテラス武蔵小杉","-35577","楽天カード","食費","食費","","0","H_ZWIM9LmYdHQRXwcLZmcooW5NZCTFY13NgDkQGttd8"
"1","2026/02/28","サイゼリヤ","-650","VIEW CARD","食費","外食","","0","AH6Yds3n8kCQkIXwc-8S3SWOSVw7aVeDv98DGYPM0CM"
"1","2026/02/28","ドコモご利用料金","-4172","MB","通信費","携帯電話","","0","PSSY7Smz6zb27O7FlRUXgMjqvWmBhG8uQMce5yMCU5I"
"1","2026/02/28","ポイント","2178","Amazon.co.jp","未分類","未分類","","0","8MeVpbZShQZKc7H31a-LJNGVB6cuEhmG978DVUTl7Yc"
"1","2026/02/28","たった1日で儲かる社長に生まれ変わる 非常識なマーケティング大全 販売: Amazon Services International LLC","-2178","Amazon.co.jp","未分類","未分類","","0","cwsP-oGLplsu9NBbPVezRHPOuTRsSpcH_xyUjF0DQrA"
"1","2026/02/27","マクドナルドモバイルオーダー","-150","d払い","食費","外食","","0","Mt584pCl0k-s2WVBDwMsgJ4Tu1mQkhBiHwlMxAphMmo"
"1","2026/02/27","マクドナルドモバイルオーダー(ポイント利用分)","150","d払い","未分類","未分類","","0","CvSHaXnNCQ9_ekn-5cgJU8NjwUnKN8Uq-i0p0t1vZ94"
"0","2026/02/27","ラクテンカ-ドサ-ビス","-447637","RB1","現金・カード","カード引き落とし","","1","Q_HKyrP4RWdv35IwBF5MF-vXLxKKt43lYUzMg4LIBGs"
"1","2026/02/27","コウトウクベビ-シツタ-(イチジアズカリ)リヨウシエンホジヨキン","83500","RB1","未分類","未分類","","0","DUvvYK7kNsYXz4MkkmLF0RvyLmni1PNupXGyuQQrqMA"
"1","2026/02/27","PAYPAL *ARVO","-487","VIEW CARD","その他","雑費","","0","rI9N8BkF4qcDmfQyViO8iCiJVu75ZTBqZmUwBn060X4"
"1","2026/02/27","Amazonポイント","11500","Amazon.co.jp","未分類","未分類","","0","GdcKafru4t5lplD4FXrXs6RCE7rTz73nP3Jz5geCScU"
"1","2026/02/27","[G-SHOCK] [カシオ] 腕時計 【国内正規品】 Treasure Huntシリーズ DW-5600SBY-4JR メンズ レッド 販売: KMY shop","-11500","Amazon.co.jp","未分類","未分類","","0","wchCEVoNpN7HY8zDIjHC-LSEjqOotrqbvqabTeNaf9k"
"1","2026/02/27","振込*ミタニ エリナ","-12000","麻梨奈SBI","未分類","未分類","","0","iyhqD8gHLxfPHCL_q7d8kEPFEqcO2yw8S-39LXZQ-a0"
"0","2026/02/27","口座振替 PayPayカード","-10000","SBI銀行","未分類","未分類","","1","FSY6udFgrC02QdCkE17s3q8UqKpiBfWQXQccvOW_xDM"
"1","2026/02/27","口座振替 SMBC(カンリヒトウ","-22130","SBI銀行","住宅","管理費・積立金","","0","zvhNc99crTcYWCG8jOblTBoTGlqg3TVaSmXLsNHvkXQ"
"1","2026/02/27","育英 日本学生支援機","-6285","ゆうちょ銀行","住宅","奨学金","","0","w-k4GkcbN1uI6BZqnOjwAlm-vB2lIpuw8BknaYgexu0"
"1","2026/02/27","振込入金* (ジエイリ-スグチ)ミ","81000","TB","収入","不動産所得","","0","eX-ArqNZxr49ToFJYaEcvpMQCmR7qJqqU8XHsvVwqJs"
"1","2026/02/26","トウホウサライ/NFC","-4000","楽天カード","未分類","未分類","","0","j3uxCNz2zoepFkNvpZmumPss4GnwQDklQCzh8Q7avB0"
"1","2026/02/26","マツモトキヨシチエ-ンパパスム","-5755","楽天カード","日用品","ドラッグストア","","0","NkInfxcQvZ3T0BjT6VpXjv_TbPtQ4AqBb3kxqt4A4ZI"
"1","2026/02/26","東京地下鉄 大手町駅 オートチャージ(モバイル)","-5000","VIEW CARD","現金・カード","電子マネー","","0","JYGjz0300OjPA4Pe_S0GyzK00HKy2cUH3-Vx6YP5h2Q"
"1","2026/02/26","GO(タクシーアプリ)*アプリ配車","-1600","麻梨奈三井住友カード","交通費","タクシー","","0","HnlNPHDp2a6RH30aZKADvYK_Z3QSpCy1jdvAsjCBLNA"
"1","2026/02/26","JR東日本モバイルSuica","-3000","麻梨奈三井住友カード","交通費","電車","","0","08o33CD6Ge156XKA14mKftCdZJQS_FzIyGL3169_yJo"
"0","2026/02/26","口座振替 ミツイスミトモカード","-150843","麻梨奈SBI","現金・カード","カード引き落とし","","1","aO2WLdoxBUpviZp4e8Ivzk3Z7rb9kAMGfF-zdfwvLH8"
"1","2026/02/26","振込*ペイオニア ジヤパン(カ (4366185431125329 436)","407961","【法人】住信SBIネット銀行","未分類","未分類","","0","I2_4XpTkVOL3smlxl7Mw-K2-mcyrlYirDQxsVYVYS-4"
"1","2026/02/25","カンサイクウコウ チヨクエイ","-1080","楽天カード","未分類","未分類","","0","o8Qs6WUQ8D7rLjXlt1d4XHI5wIAaYpxWki6uPriavUc"
"1","2026/02/25","カンサイクウコウ チヨクエイ","-900","楽天カード","未分類","未分類","","0","9xNzHwND3WjDfhaw11Ym20xZh0CNOjkvylZVgMqW1IQ"
"1","2026/02/25","エキマルシエオオサカ/NFC","-3232","楽天カード","未分類","未分類","","0","LNMOLKPutUrD6kyhDD_n_Gqx3BWlmXGhvUIYrEL4AOM"
"1","2026/02/25","ヨ-ジヤ ハネダクウコウダイ","-3300","楽天カード","未分類","未分類","","0","OdRaNJFlHq8vc_73qZMxN_0pAKu4WfLky0q7tQBMn_k"
"1","2026/02/25","アストンジヤパン(カ","24633","RB1","未分類","未分類","","0","LJeq8-Bzs_mvyg2JfIcsmwZFvdgbTfTnm2PKvnIenHg"
"1","2026/02/25","証書貸付","-46201","【法人】城北信用金庫","その他","事業経費","","0","7l7DqgB_lAXPoTTmGysqqwc8oCOfSMsg7QX_H_GszW8"
"1","2026/02/25","APPLE COM BILL","-890","麻梨奈三井住友カード","通信費","その他通信費","","0","niXRpv-Ga86lHUoLffFiBK7cGgSGekRA7UlTEZm4h9U"
"1","2026/02/25","Amazonギフト券・Amazonショッピングカードの金額","19000","Amazon.co.jp","未分類","未分類","","0","eMLyIOSnKGq-sT9C3b325dL4CjaEdraS3ZSQ-Qs1Dis"
"1","2026/02/25","HUAWEI WATCH GT 4 46mm ゴルフナビ搭載 スマートウォッチ コース攻略 練習モード 最長14日間持続ロングバッテリー GNSS測位(GPS) カロリー管理 睡眠中呼吸乱れ検知 24時間健康管理 100種類以上の専門的ワークアウトコーチ iOS/Android対応 ブラック 販売: S.Y SHOP〈インボイス対応〉","-19000","Amazon.co.jp","趣味・娯楽","ゴルフ","","0","HZ3tqkaa3cKVo5ZvBMLNEFYGCnyPDyCuQnrnH0Y8j48"
"1","2026/02/25","Amazonギフト券・Amazonショッピングカードの金額","12000","Amazon.co.jp","未分類","未分類","","0","vuEhdTOTjJ1tTOnI3yTaEAmUYrWR0v9tdwfY5KSssv0"
"1","2026/02/25","figma リトルアーモリー 照安鞠亜 ノンスケール ABS&PVC製 塗装済み可動フィギュア 再販分 販売: インボイス制度対応済 SHOP Forest 【千葉県公安委員会 第441010002465号】","-12000","Amazon.co.jp","未分類","未分類","","0","3DWV7_hOaw4HBoCcDeFFrZ6If56dO56DIevakvq9HIA"
"1","2026/02/25","Amazonギフト券・Amazonショッピングカードの金額","1480","Amazon.co.jp","未分類","未分類","","0","q9rPx74YVybK9nSqGarYfevwNFSRkS2HBboP59VdL-Y"
"1","2026/02/25","リファボディマッサージジェル 120g (ReFa BODY MASSAGE GEL) MTG【メーカー純正品】 マッサージジェル 販売: コタSTORE","-1480","Amazon.co.jp","未分類","未分類","","0","Il8r0Erp5fvbLpDJJPErMaXpC0gvMHlst4bizZ6rlUs"
"1","2026/02/25","Amazonギフト券・Amazonショッピングカードの金額","7750","Amazon.co.jp","未分類","未分類","","0","eiLBvU6jorM3c0UjBxDCIOQaDyOmd28CUCgjtZdi_Bo"
"1","2026/02/25","妖怪ウォッチ3 スシ/テンプラ バスターズTパック - 3DS 販売: トリプルハート","-7750","Amazon.co.jp","食費","外食","","0","zgXLPKseVAeMrPajC9pWFRxIgQOXOMHq9zJDrxh7Rm4"
"1","2026/02/25","政策公庫 セイサクコウコ(コク)","-22251","TB","その他","事業経費","","0","3DbcA9r4akgaeBXRD8kxoTEBTYYiO7KKumeI13b8Z4Q"
"1","2026/02/24","カブシキガイシヤポピンズ","-30390","楽天カード","未分類","未分類","","0","2qbT_eP9AfAveA26r4H5G2pe6_L5HQVsNDCq-lv_mV8"
"1","2026/02/24","セブン-イレブン","-254","楽天カード","食費","食料品","","0","-54m-0faDh-DjkSmmpZWFEh-vsknw09S8vzHqoEdR_Q"
"1","2026/02/24","エキマルシエオオサカ/NFC","-980","楽天カード","未分類","未分類","","0","vgTIXuAPpKmJ9Gxda7dPuoYcj6_O9WEIoCvR98YXjpA"
"1","2026/02/24","阪神梅田本店","-2592","楽天カード","食費","食費","","0","JyrcmaPoLWREmv0oRX2QciMm_qqZ9IllOLiNoPnm-Pg"
"1","2026/02/24","FrontierSpirit","-144000","VIEW CARD","未分類","未分類","","0","B352lNU7fQfudWWSOAaYLBCwhh87NXyQfxFRKS3-7-Y"
"1","2026/02/24","Amazonギフト券・Amazonショッピングカードの金額","2754","Amazon.co.jp","未分類","未分類","","0","qtUWKOtTeGQLf1NfUikeCh4jJOMmr7aVvQ9B5mbuiBM"
"1","2026/02/24","ローランド Roland キャリングバッグ CB-MBC1(MOBILE CUBE/MOBILE AC/MOBILE BA用) 販売: Amazon.co.jp","-2754","Amazon.co.jp","未分類","未分類","","0","jd-jfx6MU4SBfUDde6KChqUFsIKqLhfWxP1gto47tqc"
"1","2026/02/24","Amazonギフト券・Amazonショッピングカードの金額","3580","Amazon.co.jp","未分類","未分類","","0","B6K2uitpqBomzHwcdgvOMj2rn49bcylj5ObHzyPJEIM"
"1","2026/02/24","PEAKS&TREES ホットサンドメーカー 直火 上下分離型 燕三条製 日本製 シングル 調理器具 焼印 フッ素加工 ガス火対応 販売: LIFE&CO TOKYO","-3580","Amazon.co.jp","水道・光熱費","ガス・灯油代","","0","-23qFG_JcbUwP4hJaVMjwDOWIwEvkkulZ8FzocuZJ2A"
"1","2026/02/24","Amazonギフト券・Amazonショッピングカードの金額","3800","Amazon.co.jp","未分類","未分類","","0","_2sN-FNaLL-U8kEddUsoNdQ4aJ9y8PT57PS4JND7rRg"
"1","2026/02/24","HGUC 1/144 RGM-89D ジェガンD型(ピコ・アルティドール専用機) プラモデル(ホビーオンラインショップ限定) 販売: MAT SHOP","-3800","Amazon.co.jp","未分類","未分類","","0","Inviv0pgEBU4WdH57TuzXA78JDmUh3X2HcVqkkXZNbc"
"1","2026/02/23","マクドナルドモバイルオーダー","-230","d払い","食費","外食","","0","s7uCHmM4rDwW_Jv9FrqzWwxoZ4Enzjuftd84ezlKsSI"
"1","2026/02/23","マクドナルドモバイルオーダー(ポイント利用分)","230","d払い","未分類","未分類","","0","bzS2Mhx2Jx3TKiN74wbDlpKPUljtG5Ihk-vMnPyfu6E"
"1","2026/02/23","ダイダイ グランツリームサシ","-3210","楽天カード","未分類","未分類","","0","lHkMlFwVzIcqnHlLo41DYM5RmrfI4u47xnXtz5P9m2c"
"1","2026/02/23","ダイマルトウキョウテン ショクヒ","-2160","楽天カード","衣服・美容","衣服","","0","ZE2smhRY69TvjKuDzvrdb2jAhTzOTirxpwMjT5VTLdY"
"1","2026/02/23","FREEE 東京都 品川区","-4378","MB","その他","事業経費","","0","cg2cnSvmwPIKFGSDvEebOGKDWtyLlki-Q_WviLMp6PQ"
"1","2026/02/23","タイムズカー 東京都 品川区","-2400","MB","その他","事業経費","","0","tSg51ZOtwqji7sRrWQv5IOWxjk6aaaPED6qhcJKaDZM"
"1","2026/02/23","JR東日本モバイルSuica","-3000","麻梨奈三井住友カード","交通費","電車","","0","URwOFaa2KhVCeUrJd-YZfbKhWz44107CVQU0HZCaC9c"
"1","2026/02/22","配送料値引き","500","Amazonビジネス","未分類","未分類","","0","v4uIRg_MJTUElDHFbRFOBIZ01b8yiHMK0f-fFHRAfjU"
"1","2026/02/22","配送料","-500","Amazonビジネス","未分類","未分類","","0","or8JtroXd2bCvTbv60aBXf38pnFYRqPwmCkBu5WFxJw"
"1","2026/02/22","HyperX Cloud Alpha S ゲーミング ヘッドセット 7.1サラウンドサウンド 低音調節スライダー ブラック 2年保証 HX-HSCAS-BK/WW ( 4P5L2AA )","-12980","Amazonビジネス","未分類","未分類","","0","VR3W0M8GE79kDd5wR1uPmplD-_XkbPdZtTxX1SSa9hs"
"1","2026/02/22","2026/02/22請求分 支払い方法: Amazonギフトカードなど 注文番号: 250-0183636-6051038","12980","Amazonビジネス","未分類","未分類","","0","Pxo2llyeqADcvabpbh2MxYl2M4OZ-KO8gXL4vHZcfTY"
"1","2026/02/22","無印良品","-5647","MB","交際費","交際費","","0","cEF_I9VVRWVjy6R-X10E0nJT_C5fqXsRKqzDo-2FB7k"
"1","2026/02/22","国税","-131","【法人】住信SBIネット銀行","税・社会保障","その他税・社会保障","","0","jM3eiDRuLDikoU_HkMsiJoAQoWeuX_g8WHp0g4rODyQ"
"1","2026/02/22","利息","859","【法人】住信SBIネット銀行","収入","その他入金","","0","PtehofhI5jEwSHyOpxu1MkPf7xEABnqeE0ZeYslEE8w"
"1","2026/02/22","Amazonポイント","3080","Amazon.co.jp","未分類","未分類","","0","d5STVA1zTA-CcNqYoXqwqCo7EoYUDkHc75s95ZPiwg0"
"1","2026/02/22","増補改訂版 用途と規模で逆引き!住宅設計のための建築法規 販売: Amazon.co.jp","-3080","Amazon.co.jp","未分類","未分類","","0","L7kicYT2RYHTUDsw5mmDHdKPpMv0oc9v6iO4Ai9RRTM"
"1","2026/02/22","地方税","-8","麻梨奈SBI","税・社会保障","所得税・住民税","","0","5doSAcSXOY64nZ8wG_Y1Ow_Oc550Fk5wbXvmc-Pa2To"
"1","2026/02/22","国税","-24","麻梨奈SBI","税・社会保障","その他税・社会保障","","0","pJlQM11jVPCxg9UzGCqsAnO_-BREAs-gbmRMTw4fagU"
"1","2026/02/22","利息","163","麻梨奈SBI","収入","その他入金","","0","BgX8uYlZYvJpUhI2CnoElI9FtpW4Tb7Imcu1nf_xtjY"
"1","2026/02/22","地方税","-7","麻梨奈SBI","税・社会保障","所得税・住民税","","0","CU3uK1FZrLATvr6jvpQmfVx_qVFvb_K9Zfn_D_EGm6c"
"1","2026/02/22","国税","-24","麻梨奈SBI","税・社会保障","その他税・社会保障","","0","Bes5hhYypmP7duIvcAj51eQn_Wl7JhghoDtJR0OkCQQ"
"1","2026/02/22","利息","158","麻梨奈SBI","収入","その他入金","","0","LwVPEU548B2rPeeC4lYE_0vYHhAdlbZp4rE-469SCzY"
"1","2026/02/22","地方税","-14","SBI銀行","税・社会保障","所得税・住民税","","0","DaDwlfPGb4FWy2TlJs1i078ynRxx268i0xrffSAnw5w"
"1","2026/02/22","国税","-42","SBI銀行","税・社会保障","その他税・社会保障","","0","mDwUa8fVSeHLeahRUyZ4oB5ybLzqbxdvSLzbaqewfvc"
"1","2026/02/22","利息","280","SBI銀行","収入","その他入金","","0","lkU9hOvPOKbhPRRX7368v2tgmpV7voGSMH__9QmIuBI"
"1","2026/02/21","マクドナルドモバイルオーダー","-130","d払い","食費","外食","","0","aJSGMBQICJwmY0OVMVqIzzweSXm8UBt3LPgyvRXKY-U"
"1","2026/02/21","マクドナルドモバイルオーダー(ポイント利用分)","130","d払い","未分類","未分類","","0","569J4aE_pJWCZt9_XFnOVTA1F-CGQQkmRA9f_Q6qvKU"
"1","2026/02/21","西友","-2048","楽天カード","食費","食料品","","0","nn0UyCGiuHP4MwLK-n0D7nZKA9JP60MR8-PLIJdACpE"
"1","2026/02/21","ニトリ","-3088","楽天カード","日用品","日用品","","0","MyNxb-wpaNw1xD-uO6ts5PnljowVghJxtNOjqiFxw2U"
"1","2026/02/21","錦糸町駅 オートチャージ(モバイル)","-5000","VIEW CARD","現金・カード","電子マネー","","0","Xu6ZaaUg2ZJeJ5WpZhpoydVNcfDhRzP8FpmOtDnKzvU"
