"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/03/31","マクドナルドモバイルオーダー","-500","d払い","食費","外食","","0","CKcBEcKAHfFp4lAH7-CKTtEXPGtA_g1Cd0lLkL3zXkI"
"1","2026/03/31","マクドナルドモバイルオーダー(ポイント利用分)","500","d払い","未分類","未分類","","0","psttxTX3UNLvK4D2f_7afL6cJNwz2gb2eqjg_AoK-0o"
"1","2026/03/31","マクドナルドモバイルオーダー","-140","d払い","食費","外食","","0","Z27Bcs4JCxgAQvhYgt_7tiQBINj5YT_RCGUYXbDhdtk"
"1","2026/03/31","マクドナルドモバイルオーダー(ポイント利用分)","140","d払い","未分類","未分類","","0","33gLE9aW9HSYi2nMIEb4I_aN9qGYk4-LTvwl7IhrNDk"
"1","2026/03/31","預金利息","48","RB2","収入","その他入金","","0","ux15WAFPRHSEeV5R7G2TfEbYCAqKTiwOAyPyW3Oz56A"
"1","2026/03/31","預金利息","436","RB1","収入","その他入金","","0","Hc-BX_zwRVLGVLZkEcIXrkGJ8ytPjwk52vk9ut27n4s"
"1","2026/03/31","コウトウクベビ-シツタ-(イチジアズカリ)リヨウシエンホジヨキン","157708","RB1","未分類","未分類","","0","5Aa7_6pgtr6kq_PbhBqD0hrtTjb7zCz1W3mDtoWKs4c"
"1","2026/03/31","ドコモご利用料金","-4309","MB","通信費","携帯電話","","0","oN7wT1AsYVTEkiXjxy7jQvxA_QRQCiIZImJNz9OaqHQ"
"1","2026/03/31","振込*ホクサイラクノウ(カ","240000","【法人】住信SBIネット銀行","未分類","未分類","","0","ASVnrKet8gNk4HZws6PAzojEYDAyvDNJ5kKHne5oL60"
"1","2026/03/31","振込入金* (ジエイリ-スグチ)ミ","81000","TB","収入","不動産所得","","0","AAn2CRSLU8DiRzZacCjkzxkhVU3pjm0okju4YgJ4r9A"
